 label Gender(0=Male;1=Female;) Gender_ID(0=Male;1=Female;2=Other;) Greek(0=No;1=Yes;) Home_Town(0=Small_Town;1=Medium_City;2=Big_City_Subrub;3=Big_City;) In_State(0=No;1=Yes;) Ethnicity(0=White;1=Black;2=Hispanic;3=East_Asian;4=South_Asian;5=Other;) Religion(0=Christian;1=Jewish;2=Muslim;3=Hindu;4=Buddhist;5=Religious_but_not_one_of_the_above;6=Agnostic;7=Atheist;) Religious like_Math Calculus(0=No;1=Yes;) ACT GPA Party_Hours_per_week Drinks_per_week Sex_Partners Relationships Call_Parents Cell_Phone(0=Android;1=iPhone;2=Other;) Social_Media(10=V10_or_more;) Texts Good_or_Well Expected_Income President(1=Donald_Trump;2=Hillary_Clinton;3=Jill_Stein;4=Gary_Johnson;5=Not_eligible_to_vote;6=Chose_not_to_vote;) Illinois_Commitment Family_Income Liberal Political_Party(0=Democratic;1=Republican;2=Independent;3=Green;4=Libertarian;5=Other;) Grade_vs_Learning Parent_Relationship Work_Hours Tuition Career Section(1=L1;2=KF;3=ONL;) 
Obs1 1 1 1 0 3 1 1 0 4 4 1 23 3.3 4 12 1 4 8 1 4 14 2 150 5 10 85 1 0 2 8 10 40 5 1 
Obs2 2 1 1 0 2 1 0 0 2 6 1 25 3.9 3 1 5 3 7 1 3 5 5 200 6 10 80 7 2 5 10 20 100 3 1 
Obs3 3 1 1 1 2 1 0 1 3 3 0 24 3.3 10 50 7 2 10 1 3 5 5 80 5 7 50 4 4 6 10 0 100 7 1 
Obs4 4 1 1 0 1 1 0 6 6 4 1 29 3.2 1 1 1 1 1 1 3 3 5 80 2 10 80 2 0 7 6 15 50 4 1 
Obs5 5 1 1 0 3 1 0 5 3 4 0 22 3.8 0 0 0 1 10 1 2 4 5 200 6 5 500 5 5 5 10 0 100 10 1 
Obs6 6 0 0 0 0 1 5 5 2 7 1 19 2.9 4 3 8 1 3 1 3 4 5 50 6 10 70 5 0 6 10 15 0 7 1 
Obs7 7 1 1 0 2 1 4 3 5 6 1 28 3.2 4 10 0 1 6 1 4 3 5 100 2 3 250 3 0 4 9 0 10 6 1 
Obs8 8 1 1 0 2 1 0 7 0 5 1 28 3.8 0 5 1 1 1 1 1 3 7 100 6 1 80 3 0 3 3 15 70 8 1 
Obs9 9 0 0 0 0 1 0 0 10 7 1 25 3 0 0 1 1 7 1 2 5 5 100 1 5 250 10 1 7 10 0 0 4 1 
Obs10 10 0 0 1 2 1 0 6 2 1 1 28 3.6 15 25 4 1 6 1 5 18 8 150 5 2 300 5 0 3 10 0 90 6 1 
