"","carat","cut","color","clarity","price"
"1",1.2,"Ideal","D","SI2",6140
"2",0.37,"Ideal","G","IF",1056
"3",0.8,"Ideal","F","VS2",3913
"4",1.07,"Ideal","H","SI1",4955
"5",0.52,"Very Good","F","VS2",1581
"6",1.01,"Ideal","E","SI2",4666
"7",0.32,"Very Good","G","VVS1",842
"8",0.51,"Very Good","E","SI1",1357
"9",1.71,"Premium","H","VVS2",14731
"10",0.4,"Very Good","G","VS1",791
"11",2.01,"Good","D","SI2",16776
"12",0.31,"Good","E","SI1",544
"13",0.74,"Premium","D","VS2",2855
"14",0.7,"Premium","D","SI2",2562
"15",0.42,"Ideal","E","VS1",1181
"16",0.55,"Premium","H","VVS1",1980
"17",0.75,"Fair","F","VS1",2859
"18",1.13,"Premium","H","VS2",5885
"19",0.3,"Ideal","G","VS2",630
"20",0.8,"Premium","F","SI1",2890
"21",1.01,"Good","J","SI1",3699
"22",1.21,"Ideal","J","VS2",5275
"23",0.32,"Ideal","E","IF",944
"24",1.5,"Good","H","SI2",7897
"25",0.64,"Premium","F","VS2",2131
"26",0.4,"Ideal","G","VVS1",1043
"27",0.9,"Ideal","H","SI2",3770
"28",0.77,"Ideal","D","VS2",3980
"29",1.03,"Ideal","E","SI1",5234
"30",1.03,"Premium","H","SI1",5129
"31",1.19,"Good","G","VVS2",8995
"32",0.9,"Ideal","D","VS2",5897
"33",0.56,"Ideal","H","VVS2",2118
"34",1.13,"Ideal","E","VVS1",14525
"35",0.72,"Ideal","E","VS2",2843
"36",0.74,"Ideal","F","SI1",2889
"37",1.22,"Very Good","I","VS1",6763
"38",2.11,"Premium","J","SI2",12554
"39",1.01,"Very Good","D","SI2",4606
"40",0.33,"Very Good","G","VS1",681
"41",0.7,"Very Good","G","SI1",2010
"42",1.36,"Ideal","F","VVS2",12494
"43",0.5,"Premium","H","VS1",1253
"44",1.12,"Premium","F","SI2",4654
"45",2.28,"Very Good","I","SI2",16041
"46",0.35,"Ideal","H","VVS2",906
"47",0.9,"Premium","I","SI1",3121
"48",1.57,"Ideal","H","SI2",9298
"49",0.38,"Ideal","F","IF",1218
"50",0.9,"Premium","G","VS1",4579
"51",0.9,"Ideal","H","VS2",4133
"52",0.76,"Very Good","I","SI1",2120
"53",0.62,"Premium","E","SI2",1291
"54",0.7,"Very Good","I","VVS1",2390
"55",0.3,"Good","H","VS1",526
"56",0.78,"Very Good","I","SI1",2228
"57",0.71,"Ideal","G","SI2",2264
"58",1.34,"Premium","G","SI2",6464
"59",0.32,"Ideal","G","VS1",645
"60",0.32,"Ideal","F","VVS1",926
"61",1,"Premium","I","VS1",3763
"62",1.07,"Ideal","E","VVS2",10453
"63",1.51,"Very Good","F","VS2",14165
"64",1.5,"Premium","D","SI2",10206
"65",1.01,"Very Good","G","VVS2",7885
"66",0.46,"Ideal","I","VVS2",1040
"67",0.32,"Premium","H","SI1",461
"68",1.51,"Ideal","E","VS2",14844
"69",1.89,"Very Good","D","SI2",15594
"70",1,"Premium","H","SI2",3640
"71",0.53,"Ideal","G","VS1",1692
"72",1.35,"Ideal","J","VS1",6048
"73",0.37,"Premium","D","VVS1",1069
"74",0.51,"Ideal","G","VS2",1557
"75",0.3,"Very Good","E","VS2",658
"76",0.31,"Premium","G","SI1",593
"77",0.3,"Ideal","I","SI1",506
"78",0.5,"Very Good","D","VS2",1646
"79",2.06,"Premium","E","SI2",14634
"80",1.21,"Premium","D","VS1",10706
"81",0.52,"Ideal","H","VS1",1598
"82",1,"Premium","F","SI1",4939
"83",0.32,"Very Good","D","VVS2",809
"84",0.32,"Good","D","SI1",706
"85",1.12,"Very Good","G","I1",3017
"86",0.3,"Ideal","J","VS2",630
"87",2.51,"Very Good","J","SI1",16842
"88",1.01,"Premium","E","SI2",3674
"89",1.07,"Very Good","I","VS2",4873
"90",0.52,"Good","G","SI1",1244
"91",1.07,"Ideal","G","SI1",5232
"92",2.24,"Premium","H","SI2",10913
"93",1.12,"Ideal","G","SI2",4990
"94",1.01,"Very Good","D","SI1",4821
"95",0.74,"Ideal","F","VS1",3226
"96",1.07,"Ideal","J","VS2",4686
